timestamp,judge_name,resolution,thr,seed,rollouts,n_images,agent_type,pixels,started,precommit,accuracy,note
20250601030636,28_4px,28,0.0,42,0,10000,greedy,4,honest,True,0.814,paper=83.8%
20250531150029,28_4px,28,0.0,42,0,10000,greedy,4,liar,True,0.8697,paper=86.7%
20250530211834,28,28,0.0,42,0,10000,greedy,6,honest,True,0.8481,paper=87.4%
20250602003723,28,28,0.0,42,0,10000,greedy,6,liar,True,0.893,paper=90.4%
20250601224518,28_4px,28,0.0,42,0,10000,greedy,4,honest,False,0.4836,paper=51.0%
20250601224409,28_4px,28,0.0,42,0,10000,greedy,4,liar,False,0.5602,paper=68.4%
20250601224619,28,28,0.0,42,0,10000,greedy,6,honest,False,0.6241,paper=67.4%
20250601224658,28,28,0.0,42,0,10000,greedy,6,liar,False,0.6864,paper=81.5%
20250608170526,28,28,0.0,42,512,100,mcts,6,honest,True,0.95,paper=87.4%
20250608131307,28,28,0.0,42,512,100,mcts,6,liar,True,0.97,paper=90.4%
20250608165716,28,28,0.0,42,512,100,mcts,6,honest,False,0.71,paper=67.4%
20250608165041,28,28,0.0,42,512,100,mcts,6,liar,False,0.82,paper=81.5%

