timestamp,judge_name,strategy,resolution,thr,seed,n_images,pixels,accuracy,note
eval_28_random_28px_6k_20250612_005205,28,random,28,0.0,42,1000,6,0.558,
eval_28_optimal_28px_6k_20250612_005212,28,optimal,28,0.0,42,1000,6,0.857,
eval_28_adversarial_28px_6k_20250612_005422,28,adversarial,28,0.0,42,1000,6,0.0,
eval_28_adversarial_nonzero_28px_6k_20250612_010902,28,adversarial_nonzero,28,0.0,42,1000,6,0.077,
eval_28_random_28px_1k_20250612_011352,28,random,28,0.0,42,1000,1,0.185,
eval_28_random_28px_2k_20250612_011359,28,random,28,0.0,42,1000,2,0.284,
eval_28_random_28px_3k_20250612_011405,28,random,28,0.0,42,1000,3,0.393,
eval_28_random_28px_4k_20250612_011412,28,random,28,0.0,42,1000,4,0.444,
eval_28_random_28px_5k_20250612_011419,28,random,28,0.0,42,1000,5,0.535,
eval_28_random_28px_6k_20250612_011425,28,random,28,0.0,42,1000,6,0.558,
eval_28_random_28px_7k_20250612_011432,28,random,28,0.0,42,1000,7,0.597,
eval_28_random_28px_8k_20250612_011439,28,random,28,0.0,42,1000,8,0.652,
eval_28_random_28px_10k_20250612_011446,28,random,28,0.0,42,1000,10,0.687,
eval_28_random_28px_12k_20250612_011454,28,random,28,0.0,42,1000,12,0.745,
eval_28_random_28px_6k_20250612_011929,28,random,28,0.0,42,1000,6,0.558,
eval_28_random_28px_6k_20250612_011935,28,random,28,0.1,42,1000,6,0.596,
eval_28_random_28px_6k_20250612_011942,28,random,28,0.2,42,1000,6,0.61,
eval_28_random_28px_6k_20250612_011950,28,random,28,0.3,42,1000,6,0.628,
eval_28_random_28px_6k_20250612_011957,28,random,28,0.4,42,1000,6,0.632,
eval_28_random_28px_6k_20250612_012003,28,random,28,0.5,42,1000,6,0.646,
eval_28_optimal_28px_1k_20250613_121546,28,optimal,28,0.0,42,10000,1,0.8055,
eval_28_optimal_28px_2k_20250613_123755,28,optimal,28,0.0,42,10000,2,0.8284,
eval_28_optimal_28px_3k_20250613_130041,28,optimal,28,0.0,42,10000,3,0.8301,
eval_28_optimal_28px_4k_20250613_132305,28,optimal,28,0.0,42,10000,4,0.8316,
eval_28_optimal_28px_5k_20250613_134725,28,optimal,28,0.0,42,10000,5,0.8463,
eval_28_optimal_28px_6k_20250613_140926,28,optimal,28,0.0,42,10000,6,0.8628,
eval_28_optimal_28px_7k_20250613_143133,28,optimal,28,0.0,42,10000,7,0.872,
eval_28_optimal_28px_8k_20250613_145330,28,optimal,28,0.0,42,10000,8,0.8816,
eval_28_optimal_28px_10k_20250613_151703,28,optimal,28,0.0,42,10000,10,0.9012,
eval_28_optimal_28px_12k_20250613_154052,28,optimal,28,0.0,42,10000,12,0.9137,
